date,temperature
2019-01-01,27.483570765056164
2019-01-02,24.308678494144075
2019-01-03,28.23844269050346
2019-01-04,32.61514928204013
2019-01-05,23.829233126383322
2019-01-06,23.8293152152541
2019-01-07,32.896064077536955
2019-01-08,28.837173645764544
2019-01-09,22.65262807032524
2019-01-10,27.712800217929825
2019-01-11,22.682911535937688
2019-01-12,22.671351232148716
2019-01-13,26.20981135783017
2019-01-14,15.43359877671101
2019-01-15,16.375410837434835
2019-01-16,22.188562353795135
2019-01-17,19.93584439832788
2019-01-18,26.571236662976368
2019-01-19,20.459879622393945
2019-01-20,17.938481493323543
2019-01-21,32.32824384460777
2019-01-22,23.871118497567323
2019-01-23,25.33764102343962
2019-01-24,17.87625906893272
2019-01-25,22.278086377374088
2019-01-26,25.55461294854933
2019-01-27,19.245032112888488
2019-01-28,26.87849009172836
2019-01-29,21.996806550405974
2019-01-30,23.541531251033618
2019-01-31,21.991466938853016
2019-02-01,34.26139092254469
2019-02-02,24.93251387631033
2019-02-03,19.711445355220498
2019-02-04,29.112724560515943
2019-02-05,18.895781750144888
2019-02-06,26.044317975023777
2019-02-07,15.201649380601122
2019-02-08,18.359069755507846
2019-02-09,25.984306179345616
2019-02-10,28.692332899977053
2019-02-11,25.85684140594985
2019-02-12,24.421758588058797
2019-02-13,23.494481522053555
2019-02-14,17.607390048162863
2019-02-15,21.400778958026457
2019-02-16,22.696806145201062
2019-02-17,30.285611131094576
2019-02-18,26.71809144784231
2019-02-19,16.18479922318633
2019-02-20,26.620419846973974
2019-02-21,23.074588597918417
2019-02-22,21.615389998470206
2019-02-23,28.05838144420434
2019-02-24,30.154997612479754
2019-02-25,29.656400595580994
2019-02-26,20.803912383886807
2019-02-27,23.453938120743928
2019-02-28,26.65631715701782
2019-03-01,29.877725635611796
2019-03-02,22.60412881077355
2019-03-03,24.071705116680914
2019-03-04,19.46832512996986
2019-03-05,19.018966879596647
2019-03-06,29.062629111970992
2019-03-07,31.781200142854114
2019-03-08,24.63994939209833
2019-03-09,30.01766448946012
2019-03-10,26.80818012523817
2019-03-11,21.77440122697438
2019-03-12,26.80697802754207
2019-03-13,32.690182832329846
2019-03-14,24.820869804450243
2019-03-15,32.82321827907003
2019-03-16,11.901274479551278
2019-03-17,29.10951252187612
2019-03-18,25.435235341190857
2019-03-19,23.504963247670663
2019-03-20,25.45880388267751
2019-03-21,15.062155426995536
2019-03-22,23.90164056081244
2019-03-23,26.78556285755873
2019-03-24,32.38947022370758
2019-03-25,22.40864890863176
2019-03-26,20.95753198553406
2019-03-27,22.491214782077318
2019-03-28,29.57701058851037
2019-03-29,26.643755548298422
2019-03-30,22.351198981164806
2019-03-31,27.56633716556678
2019-04-01,25.4853877467402
2019-04-02,29.843224952664446
2019-04-03,21.489734530613237
2019-04-04,23.361689267011158
2019-04-05,23.039459234339212
2019-04-06,17.682425259339407
2019-04-07,26.48060138532288
2019-04-08,26.305276360899448
2019-04-09,25.025567283212304
